network,station,latitude,longitude,start_year,end_year,smap_lat,smap_lon,chirps25_lat,chirps25_lon,chirps05_lat,chirps05_lon,MAP,location,MEAN_PET,AI,era5_lat,era5_lon,MAT,LAI_max,LAI_mean
ARM,Hillsboro,38.306,-97.301,1996,2009,38.14157,-97.28216,38.375,-97.375,38.324997,-97.325005,817.5031127929688,"('ARM', 'Hillsboro')",1175.0306396484375,0.6957291879959496,38.25,-97.25,13.282623,2.184000032,0.8297340689028377
ARM,Lamont-CF1,36.605,-97.485,1996,2024,36.72578,-97.6556,36.625,-97.375,36.625,-97.475006,876.09130859375,"('ARM', 'Lamont-CF1')",1296.5479736328125,0.6757106766663017,36.75,-97.25,15.190063,2.05600002,0.819798180052853
ARM,Lamont-CF2,36.607,-97.488,2010,2024,36.72578,-97.6556,36.625,-97.375,36.625,-97.475006,876.09130859375,"('ARM', 'Lamont-CF2')",1296.5479736328125,0.6757106766663017,36.75,-97.25,15.190063,2.05600002,0.819798180052853
ARM,Larned,38.202,-99.316,1995,2009,38.14157,-99.149376,38.125,-99.375,38.225,-99.325005,634.3277587890625,"('ARM', 'Larned')",1284.6595458984375,0.4937711013118577,38.25,-99.25,12.924927,1.86000002,0.6864251711498937
ARM,LeRoy,38.201,-95.597,1996,2009,38.14157,-95.41494,38.125,-95.625,38.225,-95.575005,994.9017944335938,"('ARM', 'LeRoy')",1103.7132568359375,0.901413286713364,38.25,-95.75,13.343292,3.480000056,1.0027386505751361
ARM,MapleCity,37.0694,-97.7606,2016,2023,37.07728,-97.6556,37.125,-97.875,37.074997,-97.775,825.7841796875,"('ARM', 'MapleCity')",1291.4290771484375,0.6394344020121393,37.25,-97.75,14.355713,2.196000032,0.8494937044134692
ARM,Marshall,36.1166,-97.5112,2016,2023,36.027473,-97.6556,36.125,-97.625,36.125,-97.525,858.752197265625,"('ARM', 'Marshall')",1298.8408203125,0.6611681615142108,36.25,-97.75,15.625824,2.34800004,0.8625525712690754
ARM,Medford,36.819,-97.8199,2016,2024,36.72578,-97.6556,36.875,-97.875,36.824997,-97.825005,820.0845947265625,"('ARM', 'Medford')",1307.4725341796875,0.6272289270237605,36.75,-97.75,15.168976,1.828000024,0.7154243736305768
ARM,Meeker,35.564,-96.988,1993,2011,35.680595,-96.908714,35.625,-96.875,35.574997,-96.975006,995.8895263671876,"('ARM', 'Meeker')",1238.618896484375,0.8040322404202482,35.75,-96.75,16.175049,2.548000036,0.9782773918674132
ARM,Morris,35.688,-95.856,1996,2004,35.680595,-95.78838,35.625,-95.875,35.674995,-95.87501,1100.1175537109375,"('ARM', 'Morris')",1163.541748046875,0.9454904008022044,35.75,-95.75,16.41211,3.6600000599999998,1.1588350155944733
ARM,Morrison,36.37354,-97.06905,2015,2024,36.375854,-96.908714,36.375,-97.125,36.375,-97.075005,893.6801147460938,"('ARM', 'Morrison')",1261.0550537109375,0.7086765261486717,36.25,-97.25,15.714233,2.096000036,0.860941049092338
